Date,Close,Volume,Open,High,Low
01-09-23,4.0265,99135,3.9235,4.0445,3.9235
01-06-23,3.911,94873,3.8255,3.93,3.7985
01-05-23,3.821,75229,3.7405,3.842,3.7215
01-04-23,3.7405,78234,3.771,3.807,3.7085
01-03-23,3.7665,81321,3.8355,3.8715,3.7585
12/30/2022,3.8105,41375,3.8285,3.8515,3.7955
12/29/2022,3.824,35958,3.835,3.852,3.8075
12/28/2022,3.8425,41598,3.849,3.873,3.821
12/27/2022,3.8405,46661,3.84,3.9415,3.832
12/23/2022,3.809,36816,3.7645,3.817,3.761
12/22/2022,3.757,43330,3.818,3.849,3.7495
12/21/2022,3.81,38236,3.807,3.8285,3.789
12/20/2022,3.799,54252,3.761,3.8305,3.723
12/19/2022,3.783,37311,3.7695,3.8245,3.7495
12/16/2022,3.7615,44418,3.776,3.805,3.733
12/15/2022,3.763,59555,3.8635,3.8675,3.757
12/14/2022,3.878,48762,3.8455,3.892,3.823
12/13/2022,3.842,66843,3.808,3.929,3.8035
12-12-22,3.8005,44170,3.8595,3.8595,3.786
12-09-22,3.8785,50205,3.8815,3.9245,3.846
12-08-22,3.8835,48411,3.8435,3.9125,3.833
12-07-22,3.8605,50751,3.821,3.874,3.775
12-06-22,3.818,51460,3.7915,3.8635,3.7845
12-05-22,3.795,57509,3.853,3.8945,3.773
12-02-22,3.8505,58838,3.7975,3.865,3.7445
12-01-22,3.8175,58078,3.782,3.8225,3.735
11/30/2022,3.738,79133,3.644,3.7925,3.634
11/29/2022,3.6395,53960,3.6015,3.6845,3.5955
11/28/2022,3.6155,53512,3.6,3.626,3.547
11/25/2022,3.6305,37879,3.6435,3.6935,3.614
11/23/2022,3.6185,29414,3.623,3.6585,3.5965
11/22/2022,3.6145,33592,3.5835,3.6695,3.582
11/21/2022,3.576,31441,3.65,3.655,3.556
11/18/2022,3.6415,27265,3.692,3.715,3.637
11/17/2022,3.694,24538,3.757,3.7765,3.673
11/16/2022,3.7735,26816,3.811,3.821,3.7495
11/15/2022,3.8195,36813,3.8325,3.882,3.7945
11/14/2022,3.8275,36734,3.9225,3.947,3.8055
11-11-22,3.9135,108044,3.778,3.9445,3.7615
11-10-22,3.758,93416,3.678,3.7925,3.6285
11-09-22,3.7,96930,3.6615,3.748,3.627
11-08-22,3.6825,92668,3.6005,3.6995,3.5625
11-07-22,3.6035,95069,3.645,3.6605,3.578
11-04-22,3.6865,159860,3.4255,3.7085,3.418
11-03-22,3.427,82769,3.4395,3.4645,3.3795
11-02-22,3.4685,70962,3.4715,3.516,3.433
11-01-22,3.4725,78213,3.38,3.5015,3.378
10/31/2022,3.375,64017,3.43,3.4435,3.3615
10/28/2022,3.429,72287,3.5265,3.53,3.416
10/27/2022,3.5195,78732,3.539,3.5565,3.491
10/26/2022,3.545,95737,3.4055,3.5545,3.3825
10/25/2022,3.397,58300,3.4315,3.441,3.3625
10/24/2022,3.4305,69168,3.485,3.5045,3.4225
10/21/2022,3.4745,83358,3.398,3.4825,3.3455
10/20/2022,3.4105,76167,3.3255,3.437,3.303
10/19/2022,3.318,63299,3.366,3.3755,3.307
10/18/2022,3.362,70998,3.413,3.4355,3.339
10/17/2022,3.4155,55405,3.4125,3.4675,3.3905
10/14/2022,3.4235,68424,3.4635,3.501,3.4005
10/13/2022,3.4405,83408,3.4285,3.477,3.354
10-12-22,3.425,55113,3.4245,3.465,3.398
10-11-22,3.462,58732,3.4365,3.4745,3.3835
10-10-22,3.4305,56873,3.384,3.477,3.371
10-07-22,3.3865,51264,3.4395,3.448,3.373
10-06-22,3.446,66085,3.5415,3.593,3.431
10-05-22,3.5005,58556,3.494,3.5555,3.4465
10-04-22,3.49,74157,3.4165,3.5315,3.402
10-03-22,3.41,48555,3.3965,3.424,3.352
09/30/2022,3.4125,72148,3.427,3.4745,3.3885
09/29/2022,3.418,85136,3.381,3.4335,3.3055
09/28/2022,3.3585,83239,3.294,3.392,3.243
09/27/2022,3.2835,61284,3.2955,3.353,3.268
09/26/2022,3.2945,84989,3.3505,3.3645,3.274
09/23/2022,3.343,92548,3.464,3.4725,3.327
09/22/2022,3.471,62154,3.44,3.522,3.4205
